epoch,train_loss,internal_validation_accuracy
1,0.5085582238962257,0.9391929242675512
2,0.2039358435862026,0.9441680486456606
3,0.16048669068297008,0.9552238805970149
4,0.1346123339491616,0.9574350469872858
5,0.11564075821142436,0.9596462133775566
6,0.10378969789507629,0.9637921503593145
7,0.08920763057855564,0.966832504145937
8,0.07909426703488032,0.9643449419568823
9,0.07198277997048441,0.9693200663349917
10,0.06581639208355015,0.9679380873410725
11,0.061000745875221786,0.972636815920398
12,0.05435017199320192,0.9740187949143173
13,0.04968514156609862,0.972636815920398
14,0.046869336286550094,0.9720840243228303
15,0.043100077747825115,0.9734660033167496
16,0.0386651826495573,0.9731896075179657
17,0.03692637213388039,0.9773355444997236
18,0.034210168854391314,0.9709784411276948
19,0.03784053521246245,0.9762299613045882
20,0.031702214892032156,0.9770591487009398
21,0.030976102197535577,0.9748479823106688
22,0.02924148590022194,0.9787175234936429
23,0.022159061435842894,0.9773355444997236
24,0.024298989230417192,0.9759535655058044
25,0.02242309328527049,0.978441127694859
26,0.021903476387014006,0.9754007739082365
27,0.025133714804516222,0.9762299613045882
28,0.021347476627256196,0.9781647318960752
29,0.02416271239598114,0.978441127694859
30,0.020205807288156487,0.9765063571033721
31,0.015716656712134094,0.9803758982863461
32,0.014683433790851902,0.9809286898839138
33,0.014286408323656605,0.9792703150912107
34,0.017370848854658623,0.9817578772802653
35,0.01467104162942503,0.9795467108899945
36,0.017807903003207518,0.9781647318960752
37,0.01772629790656982,0.978441127694859
38,0.016594896012472524,0.9787175234936429
39,0.011542154631839935,0.9856274184632393
40,0.015532353683427662,0.9781647318960752
41,0.01615537454507241,0.9795467108899945
42,0.01362894349228674,0.9820342730790492
43,0.008600340254673784,0.9795467108899945
44,0.009217378569781205,0.9812050856826976
45,0.01182461440898531,0.978441127694859
46,0.009634070279709524,0.9809286898839138
47,0.007174468485462461,0.9781647318960752
48,0.015904725489327184,0.9806522940851299
49,0.008803090942712253,0.9776119402985075
50,0.009462411547724155,0.9828634604754007
51,0.009832555963187042,0.9754007739082365
52,0.014313874086616775,0.9776119402985075
53,0.018675939078165598,0.982310668877833
54,0.01083565801327199,0.9803758982863461
55,0.008281451434266155,0.9762299613045882
56,0.01139205160145538,0.9814814814814815
57,0.007064073637309522,0.9798231066887784
58,0.007712665638674903,0.9817578772802653
