epoch,train_loss,val_log_loss,val_macro_f1
1,0.5696695940310342,0.07676556095116514,0.991304678365948
2,0.0683525892931761,0.035033721619362856,0.9941443985450243
3,0.04570257378509268,0.025647549966217976,0.9949253697634188
4,0.03672040418799346,0.021568560158008464,0.9949253697634188
5,0.03119209710146404,0.019029948667748337,0.9951756036526815
6,0.02722372059684454,0.017389330739412245,0.99539859621478
7,0.02407139097017029,0.01590468402436804,0.9956763739925578
8,0.021481815793473896,0.01476768851825067,0.9959264935754807
9,0.01933958141954564,0.013818904398934703,0.9959264935754807
10,0.01761967806184354,0.012999967331667067,0.9961780980170312
11,0.01608513786535089,0.01231758737624655,0.9964270396794969
12,0.014771485025347728,0.011753096422752638,0.9964270396794969
13,0.01360395469398807,0.01137636452216963,0.9964270396794969
14,0.01261056965126449,0.010964574405712583,0.9961777611140605
15,0.011763831450177046,0.010594426224461396,0.9961777611140605
16,0.010935647198089605,0.010411861416743627,0.9961777611140605
17,0.010250134953013103,0.010224930523989418,0.9961777611140605
18,0.009590888025640096,0.01031393589036688,0.9961777611140605
19,0.009056374723311618,0.010220735910904674,0.9966767074776739
20,0.008582079574504556,0.01008783235742063,0.9966767074776739
21,0.008086668807663955,0.009995209985785881,0.9966767074776739
22,0.007694534284787046,0.010197034594159852,0.9964267023424976
23,0.007294144757906906,0.00990241305491891,0.9969268277648887
24,0.006952827042874156,0.010423244438986326,0.9969268277648887
25,0.006644728208710957,0.010455004564282753,0.9966767074776739
26,0.006336856269626878,0.010504482075046066,0.9969282084450685
27,0.006032037702324387,0.010267932910593486,0.9969279321382205
28,0.005902692728947538,0.010930258876322776,0.9969279321382205
29,0.005691999270412553,0.01011363143317404,0.9971781029355407
30,0.005438835122428524,0.010452686013055133,0.9971781029355407
31,0.005233131573833007,0.011264830436652712,0.9969300812454532
32,0.005014855684647854,0.01097994619897773,0.9969300812454532
33,0.004760131800948229,0.011178621408452692,0.9966800740690651
34,0.004700491605843935,0.012468896686853954,0.9964301851421702
35,0.004579017625979355,0.012034993322099551,0.9966800740690651
36,0.004473937922739424,0.011458960522735125,0.9969282084450685
37,0.0042295479086331194,0.012432343575659971,0.9971781029355407
38,0.004139453154898042,0.012139082591609176,0.996929152552812
39,0.003917096255463548,0.012154628338696944,0.9969300812454532
40,0.0038597518739859676,0.012409241829894198,0.9969300812454532
41,0.0038038624673693753,0.012498087431044544,0.9971802086292018
42,0.0037171170697547495,0.012057536443846995,0.99717986053838
43,0.0036176432396233496,0.012026176020757113,0.9971812412673936
44,0.003471185896261078,0.011930621144781618,0.9969316911862305
