elapsed_s,expected,prediction,status,confidence,known_mass,action,reason,total_ms,mediapipe_ms,classifier_ms
0.04215359999989232,,no_gesture,predicted,0.0,0.0012962899636477232,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,34.81689999989612,26.17610000015702,0.2761000000646163
0.14490470000009736,,no_gesture,predicted,0.0,0.004824754782021046,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,17.27950000031342,11.136099999930593,0.1459999998587591
0.2426989999999023,,no_gesture,predicted,0.0,0.004859164822846651,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,17.28000000002794,10.889399999996385,0.16189999996640836
0.3414324000000306,,no_gesture,predicted,0.0,0.014924074523150921,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.277800000352727,10.24120000010953,0.17870000010589138
0.4434995000001436,,no_gesture,predicted,0.0,0.015172375366091728,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,18.547099999977945,12.118900000132271,0.14250000003812602
0.5415867000001526,,no_gesture,predicted,0.0,0.029685959219932556,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.573299999890878,10.514900000089256,0.2303000001120381
0.6414037999998072,,no_gesture,predicted,0.0,0.02028706856071949,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.920499999741878,10.54969999995592,0.19040000006498303
0.7406903999999486,,no_gesture,predicted,0.0,0.01353982463479042,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.37510000000475,10.295900000073743,0.26769999976750114
0.8418443999998999,,no_gesture,predicted,0.0,0.03850364312529564,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,17.33479999984411,10.596999999961554,0.16289999985019676
0.9409593000000314,,no_gesture,predicted,0.0,0.015932220965623856,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.86829999971451,10.515700000269135,0.29180000001360895
1.0404223000000457,,no_gesture,predicted,0.0,0.023350723087787628,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.309499999806576,10.006099999827711,0.21190000006754417
1.1430654999999206,,no_gesture,predicted,0.0,0.013547241687774658,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,17.365000000154396,11.34440000032555,0.15430000030391966
1.2246283999998013,,no_gesture,predicted,0.0,0.019820062443614006,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.792899999927613,10.480599999937112,0.20670000003519817
1.343452900000102,,no_gesture,predicted,0.0,0.03665708377957344,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.5287999998327,10.614199999963603,0.15200000007098424
1.424351999999999,,no_gesture,predicted,0.0,0.023459818214178085,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.34199999989505,10.403600000245206,0.18850000014936086
1.5248686999998426,,no_gesture,predicted,0.0,0.020028816536068916,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.471500000079686,10.714500000176486,0.13999999964653398
1.6438219000001482,,no_gesture,predicted,0.0,0.046466466039419174,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.876200000297104,10.942699999759498,0.14330000021800515
1.7255423999999948,,no_gesture,predicted,0.0,0.025493677705526352,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.568999999890366,10.765499999706662,0.17030000026352354
1.843294700000115,,no_gesture,predicted,0.0,0.023555733263492584,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.705699999874923,10.872299999846291,0.14509999982692534
1.9401237000001856,,no_gesture,predicted,0.0,0.04495418816804886,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.45250000001397,10.423700000046665,0.25340000001961016
2.040381100000104,,no_gesture,predicted,0.0,0.021565280854701996,Wait / No Action,Extend the index finger past the other fingertips and hold the direction,16.789699999662844,10.382800000115822,0.16109999978652922
