actual,left,right,up,down,open_palm,like,dorsal,ok
left,228,0,0,0,0,1,0,0
right,0,226,1,0,0,1,0,1
up,0,0,226,0,0,2,0,1
down,0,0,0,228,0,1,0,0
open_palm,0,0,1,0,140,0,0,1
like,0,1,0,0,0,135,0,1
dorsal,0,0,0,1,0,0,426,0
ok,1,0,0,0,1,0,0,145
