class,precision,recall,f1_score,support
left,0.9956331877729258,0.9956331877729258,0.9956331877729258,229
right,0.9955947136563876,0.9868995633187773,0.9912280701754386,229
up,0.9912280701754386,0.9868995633187773,0.9890590809628009,229
down,0.9956331877729258,0.9956331877729258,0.9956331877729258,229
open_palm,0.9929078014184397,0.9859154929577465,0.9893992932862191,142
like,0.9642857142857143,0.9854014598540146,0.9747292418772563,137
dorsal,1.0,0.9976580796252927,0.9988276670574443,427
ok,0.9731543624161074,0.9863945578231292,0.9797297297297297,147
